"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-02","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.370","","","","3"
"1991-02","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.878","","","","3"
"1991-02","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","8.284","","","","3"
"1991-02","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","4.399","","","","3"
"1991-02","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.173","","","","3"
"1991-02","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","1.488","","","","3"
"1991-02","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.512","","","","3"
"1991-02","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","1.173","","","","3"
"1991-02","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","3.618","","","","3"
"1991-03","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","21.945","","","","3"
"1991-03","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","3.140","","","","3"
"1991-03","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","0.646","","","","3"
"1991-03","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.271","","","","3"
"1991-03","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.326","","","","3"
"1991-03","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.897","","","","3"
"1991-03","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","7.407","","","","3"
"1991-03","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","4.611","","","","3"
"1991-03","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.114","","","","3"
"1991-03","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","1.105","","","","3"
"1991-03","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.524","","","","3"
"1991-03","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","1.485","","","","3"
"1991-03","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","3.673","","","","3"
"1991-04","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","25.461","","","","3"
"1991-04","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","3.546","","","","3"
"1991-04","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.392","","","","3"
"1991-04","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.211","","","","3"
"1991-04","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.311","","","","3"
"1991-04","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.632","","","","3"
"1991-04","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","7.423","","","","3"
"1991-04","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","6.089","","","","3"
"1991-04","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.578","","","","3"
"1991-04","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.660","","","","3"
"1991-04","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.494","","","","3"
"1991-04","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","3.424","","","","3"
"1991-04","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","3.825","","","","3"
"1991-05","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","25.599","","","","3"
"1991-05","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","3.243","","","","3"
"1991-05","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.187","","","","3"
"1991-05","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.246","","","","3"
"1991-05","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.139","","","","3"
"1991-05","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.671","","","","3"
"1991-05","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","7.543","","","","3"
"1991-05","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","6.171","","","","3"
"1991-05","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.453","","","","3"
"1991-05","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.540","","","","3"
"1991-05","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.591","","","","3"
"1991-05","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","3.322","","","","3"
